image_name,label,session_id,timestamp
IMG_000001.jpg,10,20250215_021630,2025-02-15 02:16:47
IMG_000002.jpg,36,20250215_021630,2025-02-15 02:16:50
IMG_000003.jpg,81,20250215_021630,2025-02-15 02:16:52
IMG_000004.jpg,27,20250215_021630,2025-02-15 02:16:54
IMG_000005.jpg,54,20250215_021630,2025-02-15 02:16:56
IMG_000006.jpg,17,20250215_021630,2025-02-15 02:16:57
IMG_000007.jpg,17,20250215_021630,2025-02-15 02:16:59
IMG_000008.jpg,17,20250215_021630,2025-02-15 02:17:00
IMG_000009.jpg,unsuitable,20250215_021630,2025-02-15 02:17:02
IMG_000010.jpg,unsuitable,20250215_021630,2025-02-15 02:17:03
IMG_000011.jpg,17,20250215_021630,2025-02-15 02:17:05
IMG_000012.jpg,17,20250215_021630,2025-02-15 02:17:06
IMG_000013.jpg,unsuitable,20250215_021630,2025-02-15 02:17:08
IMG_000014.jpg,17,20250215_021630,2025-02-15 02:17:33
IMG_000015.jpg,17,20250215_021630,2025-02-15 02:17:35
IMG_000016.jpg,17,20250215_021630,2025-02-15 02:17:38
IMG_000017.jpg,4,20250215_021630,2025-02-15 02:17:39
IMG_000018.jpg,14,20250215_021630,2025-02-15 02:17:41
IMG_000019.jpg,10,20250215_021630,2025-02-15 02:17:43
IMG_000020.jpg,17,20250215_021630,2025-02-15 02:17:44
IMG_000021.jpg,5,20250215_021630,2025-02-15 02:17:45
IMG_000022.jpg,17,20250215_021630,2025-02-15 02:17:48
IMG_000023.jpg,4,20250215_021630,2025-02-15 02:17:49
IMG_000024.jpg,14,20250215_021630,2025-02-15 02:17:51
IMG_000025.jpg,10,20250215_021630,2025-02-15 02:17:54
